Product_ID,Production_Date,Inspection_Result,Defect_Type,Root_Cause_Category,Supplier_ID,Shift,Inspector_ID,Rework_Required,Cost_of_Defect,First_Time_Yield
P2199,2024-10-29,Pass,N/A,N/A,S002,B,INSP001,No,0,Yes
P6906,2024-05-17,Fail,Misalignment,Machine Fault,S004,A,INSP001,Yes,914,No
P1668,2025-03-29,Pass,N/A,N/A,S003,B,INSP004,No,0,Yes
P6202,2023-08-21,Pass,N/A,N/A,S004,B,INSP002,No,0,Yes
P8965,2024-07-08,Fail,Misalignment,Machine Fault,S001,C,INSP001,Yes,610,No
P8197,2025-02-23,Pass,N/A,N/A,S001,B,INSP004,No,0,Yes
P5708,2023-09-20,Pass,N/A,N/A,S001,B,INSP002,No,0,Yes
P3465,2024-08-12,Pass,N/A,N/A,S002,B,INSP004,No,0,Yes
P4085,2023-08-21,Pass,N/A,N/A,S003,A,INSP004,No,0,Yes
P5509,2024-06-30,Pass,N/A,N/A,S003,A,INSP005,No,0,Yes
P8896,2024-07-08,Pass,N/A,N/A,S002,B,INSP005,No,0,Yes
P3976,2023-09-13,Pass,N/A,N/A,S003,C,INSP002,No,0,Yes
P5539,2023-11-10,Pass,N/A,N/A,S002,A,INSP004,No,0,Yes
P6166,2024-12-01,Pass,N/A,N/A,S005,A,INSP001,No,0,Yes
P2300,2024-04-26,Fail,Surface Crack,Supplier Defect,S002,A,INSP001,Yes,843,No
P3690,2024-08-04,Pass,N/A,N/A,S003,A,INSP004,No,0,Yes
P1520,2025-01-14,Fail,Misalignment,Human Error,S002,A,INSP002,Yes,1995,No
P8139,2023-05-23,Pass,N/A,N/A,S004,A,INSP002,No,0,Yes
P5583,2023-08-31,Fail,Misalignment,Machine Fault,S002,C,INSP001,Yes,535,No
P6639,2024-11-12,Pass,N/A,N/A,S005,B,INSP002,No,0,Yes
P6661,2025-01-31,Pass,N/A,N/A,S003,C,INSP003,No,0,Yes
P7717,2024-10-01,Pass,N/A,N/A,S001,B,INSP005,No,0,Yes
P9551,2023-09-18,Pass,N/A,N/A,S004,B,INSP001,No,0,Yes
P5643,2023-08-15,Pass,N/A,N/A,S004,B,INSP004,No,0,Yes
P3955,2024-05-10,Pass,N/A,N/A,S001,B,INSP001,No,0,Yes
P2172,2023-12-15,Pass,N/A,N/A,S004,A,INSP003,No,0,Yes
P1586,2023-09-04,Pass,N/A,N/A,S004,A,INSP002,No,0,Yes
P4042,2024-12-19,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P5537,2023-12-01,Pass,N/A,N/A,S004,A,INSP003,No,0,Yes
P2556,2023-06-30,Pass,N/A,N/A,S005,B,INSP002,No,0,Yes
P6805,2023-12-21,Pass,N/A,N/A,S002,B,INSP005,No,0,Yes
P6970,2024-11-15,Pass,N/A,N/A,S002,C,INSP005,No,0,Yes
P9376,2024-05-08,Pass,N/A,N/A,S005,B,INSP004,No,0,Yes
P3321,2024-10-30,Pass,N/A,N/A,S004,C,INSP003,No,0,Yes
P7875,2023-06-27,Pass,N/A,N/A,S001,A,INSP004,No,0,Yes
P7034,2023-12-31,Pass,N/A,N/A,S004,B,INSP004,No,0,Yes
